"Chapter","Setting","Compliance"
"ANTI-VIRUS SOFTWARE","Turn off Windows Defender Antivirus is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Configure local setting override for reporting to Microsoft Active Protection Service (MAPS). is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Configure the 'Block at First Sight' feature is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Join Microsoft Active Protection Service (MAPS). is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Send file samples when further analysis is required is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Configure extended cloud check is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Select cloud protection level is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Configure local setting override for scanning all downloaded files and attachments is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Turn off real-time protection is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Turn on behavior monitoring is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Turn on process scanning whenever real-time protection is enabled is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Configure removal of items from Quarantine folder is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Allow users to pause scan is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Check for the latest virus and spyware definitions before running a scheduled scan is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Scan archive files is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Scan packed executables is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Scan removable drives is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Turn on e-mail scanning is not configured","Non-Compliant (Due to Non-Configuration)"
"ANTI-VIRUS SOFTWARE","Turn on heuristics is not configured","Non-Compliant (Due to Non-Configuration)"
"ATTACHMENT MANAGER",,
"ATTACHMENT MANAGER","Do not preserve zone information in file attachments is not configured","Non-Compliant (Due to Non-Configuration)"
"ATTACHMENT MANAGER","Hide mechanisms to remove zone information is not configured","Non-Compliant (Due to Non-Configuration)"
"AUDIT EVENT MANAGEMENT",,
"AUDIT EVENT MANAGEMENT","Include command line in process creation events is not configured","Non-Compliant (Due to Non-Configuration)"
"AUDIT EVENT MANAGEMENT","Specify the maximum log file size (KB) for the Application Log is not configured","Non-Compliant (Due to Non-Configuration)"
"AUDIT EVENT MANAGEMENT","Specify the maximum log file size (KB) for the Security Log is not configured","Non-Compliant (Due to Non-Configuration)"
"AUDIT EVENT MANAGEMENT","Specify the maximum log file size (KB) for the System Log is not configured","Non-Compliant (Due to Non-Configuration)"
"AUDIT EVENT MANAGEMENT","Specify the maximum log file size (KB) for the Setup Log is not configured","Non-Compliant (Due to Non-Configuration)"
"AUDIT EVENT MANAGEMENT","Manage Auditing and Security Log is unable to be checked using PowerShell, as the setting is not a registry key. Please check Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\User Rights Assignment. ASD Recommendation is to only have 'Administrators' present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Credential Validation is unable to be checked using PowerShell, as the setting is not a registry key. Please check Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Audit Policies\Account Logon. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Computer Account Management is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Other Account Management Events is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Security Group Management is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit User Account Management is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit PNP Activity is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Process Creation is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Process Termination is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Account Lockout is unable to be checked using PowerShell, as the setting is not a registry key. Please check. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Group Membership is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Logoff is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Logon is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Other Logon/Logoff Events is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Audit Special Logon is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit File Share is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Kernel Object is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Other Object Access Events is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Removable Storage is unable to be checked using PowerShell, as the setting is not a registry key ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Audit Policy Change is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Authentication Policy Change is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Authorization Policy Change is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Sensitive Privilege Use is unable to be checked using PowerShell, as the setting is not a registry key. Please check Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Audit Policies\Privilege Use. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit IPsec Driver is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Other System Events is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Security State Change is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit Security System Extension is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit System Integrity is unable to be checked using PowerShell, as the setting is not a registry key. ASD Recommendation is to have 'Success and Failure' Present","Unknown"
"AUDIT EVENT MANAGEMENT","Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings is not configured","Non-Compliant (Due to Non-Configuration)"
"AUTOPLAY AND AUTORUN",,
"AUTOPLAY AND AUTORUN","Disallow Autoplay for non-volume devices is not configured","Non-Compliant (Due to Non-Configuration)"
"AUTOPLAY AND AUTORUN","Set the default behavior for AutoRun is not configured","Non-Compliant (Due to Non-Configuration)"
"AUTOPLAY AND AUTORUN","Turn off Autoplay is not configured","Non-Compliant (Due to Non-Configuration)"
"BIOS AND UEFI PASSWORDS",,
"BIOS AND UEFI PASSWORDS","Unable to confirm that a BIOS password is set via PowerShell. Please manually check if a BIOS password is set (if applicable)","Unknown"
"BOOT DEVICES",,
"BOOT DEVICES","Unable to confirm the BIOS device boot order. Please manually check to ensure that the hard disk of this device is the primary boot device and the machine is unable to be booted off removable media (if applicable)","Unknown"
"BRIDGING NETWORKS",,
"BRIDGING NETWORKS","Prohibit installation and configuration of Network Bridge on your DNS domain network is not configured","Non-Compliant (Due to Non-Configuration)"
"BRIDGING NETWORKS","Route all traffic through the internal network is not configured","Non-Compliant (Due to Non-Configuration)"
"BRIDGING NETWORKS","Prohibit connection to non-domain networks when connected to domain authenticated network is not configured","Non-Compliant (Due to Non-Configuration)"
"BUILT-IN GUEST ACCOUNTS",,
"BUILT-IN GUEST ACCOUNTS","The local guest account is disabled","Compliant"
"BUILT-IN GUEST ACCOUNTS","Deny Logon Locally is unable to be checked realiably using PowerShell. Please check Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\User Rights Assignment. ASD Recommendation is to have 'Guests' present.","Unknown"
"CASE LOCKS",,
"CASE LOCKS","Unable to check if this computer has a physical case lock with a PowerShell script! Ensure the physical workstation is secured to prevent tampering, such as adding / removing hardware or removing CMOS battery.","Unknown"
"CD BURNER ACCESS",,
"CD BURNER ACCESS","Remove CD Burning features is not configured","Non-Compliant (Due to Non-Configuration)"
"CENTRALISED AUDIT EVENT LOGGING",,
"CENTRALISED AUDIT EVENT LOGGING","Centralised Audit Event Logging is unable to be checked with PowerShell. Ensure the organisation is using Centralised Event Logging, please confirm events from endpoint computers are being sent to a central location.","Unknown"
"COMMAND PROMPT",,
"COMMAND PROMPT","Prevent access to the command prompt is not configured","Non-Compliant (Due to Non-Configuration)"
"DIRECT MEMORY ACCESS",,
"DIRECT MEMORY ACCESS","Prevent installation of devices that match any of these device IDs is not configured","Non-Compliant (Due to Non-Configuration)"
"DIRECT MEMORY ACCESS","Prevent installation of devices that match any of these device IDs (retroactively) is not configured","Non-Compliant (Due to Non-Configuration)"
"DIRECT MEMORY ACCESS","Prevent installation of devices using drivers that match these device setup classes is not configured","Non-Compliant (Due to Non-Configuration)"
"DIRECT MEMORY ACCESS","Prevent installation of devices using drivers that match these device setup classes (retroactively) is not configured","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL",,
"ENDPOINT DEVICE CONTROL","All Removable Storage classes: Deny all access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","All Removable Storage classes: Deny all access is not configured in user group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","CD and DVD: Deny execute access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","CD and DVD: Deny read access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","CD and DVD: Deny write access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","CD and DVD: Deny read access is not configured in user group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","CD and DVD: Deny write access is not configured in user group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Custom Classes: Deny read access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Custom Classes: Deny write access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Custom Classes: Deny read access is not configured in user group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Custom Classes: Deny write access is not configured in user group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Floppy Drives: Deny execute access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Floppy Drives: Deny read access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Floppy Drives: Deny write access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Floppy Drives: Deny read access is not configured in user group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Floppy Drives: Deny write access is not configured in user group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Removable Disks: Deny execute access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Removable Disks: Deny read access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Removable Disks: Deny write access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Removable Disks: Deny read access is not configured in user group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Removable Disks: Deny write access is not configured in user group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Tape Drives: Deny execute access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Tape Drives: Deny read access is not configured in user group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Tape Drives: Deny write access is not configured in user group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Tape Drives: Deny read access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","Tape Drives: Deny write access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","WPD Devices: Deny read access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","WPD Devices: Deny write access is not configured in local machine group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","WPD Devices: Deny read access is not configured in user group policy","Non-Compliant (Due to Non-Configuration)"
"ENDPOINT DEVICE CONTROL","WPD Devices: Deny write access is not configured in user group policy","Non-Compliant (Due to Non-Configuration)"
"FILE AND PRINT SHARING",,
"FILE AND PRINT SHARING","Prevent the computer from joining a homegroup is not configured","Non-Compliant (Due to Non-Configuration)"
"FILE AND PRINT SHARING","Prevent users from sharing files within their profile is not configured","Non-Compliant (Due to Non-Configuration)"
"GROUP POLICY PROCESSING",,
"GROUP POLICY PROCESSING","Hardened UNC Paths are not configured, disabled or no paths are defined","Non-Compliant"
"GROUP POLICY PROCESSING","Configure registry policy processing is not configured","Non-Compliant (Due to Non-Configuration)"
"GROUP POLICY PROCESSING","Configure security policy processing is not configured","Non-Compliant (Due to Non-Configuration)"
"GROUP POLICY PROCESSING","Turn off background refresh of Group Policy is not configured","Non-Compliant (Due to Non-Configuration)"
"GROUP POLICY PROCESSING","Turn off Local Group Policy Objects processing is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION",,
"HARD DRIVE ENCRYPTION","Choose drive encryption method and cipher strength (Windows 10 [Version 1511] and later) is not configured or disabled","Non-Compliant"
"HARD DRIVE ENCRYPTION","Disable new DMA devices when this computer is locked is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Prevent memory overwrite on restart is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Choose how BitLocker-protected fixed drives can be recovered is not configured or disabled","Non-Compliant"
"HARD DRIVE ENCRYPTION","Configure use of passwords for fixed data drives is not configured or disabled","Non-Compliant"
"HARD DRIVE ENCRYPTION","Deny write access to fixed drives not protected by BitLocker is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Enforce drive encryption type on fixed data drive is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Allow devices compliant with InstantGo or HSTI to opt out of pre-boot PIN is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Allow enhanced PINs for startup is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Allow network unlock at startup is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Allow Secure Boot for integrity validation is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Choose how BitLocker-protected operating system drives can be recovered is not configured or disabled","Non-Compliant"
"HARD DRIVE ENCRYPTION","Configure minimum PIN length for startup is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Configure use of passwords for operating system drives is not configured or disabled","Non-Compliant"
"HARD DRIVE ENCRYPTION","Disallow standard users from changing the PIN or password is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Enforce drive encryption type on operating system drive is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Require additional authentication at startup is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Reset platform validation data after BitLocker recovery is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Choose how BitLocker-protected removable drives can be recovered is not configured or disabled","Non-Compliant"
"HARD DRIVE ENCRYPTION","Configure use of passwords for removable drives is not configured or disabled","Non-Compliant"
"HARD DRIVE ENCRYPTION","Control use of bitlocker on removable drives is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Deny write access to removable drives not protected by BitLocker is not configured","Non-Compliant (Due to Non-Configuration)"
"HARD DRIVE ENCRYPTION","Enforce drive encryption type on removable data drive  is not configured","Non-Compliant (Due to Non-Configuration)"
"INSTALLING APPLICATIONS",,
"INSTALLING APPLICATIONS","Configure Windows Defender SmartScreen is not configured","Non-Compliant (Due to Non-Configuration)"
"INSTALLING APPLICATIONS","Allow user control over installs is not configured","Non-Compliant (Due to Non-Configuration)"
"INSTALLING APPLICATIONS","Always install with elevated privileges is not configured in local machine policy","Non-Compliant (Due to Non-Configuration)"
"INSTALLING APPLICATIONS","Always install with elevated privileges is not configured in user policy","Non-Compliant (Due to Non-Configuration)"
"INTERNET PRINTING",,
"INTERNET PRINTING","Turn off downloading of print drivers over HTTP is not configured","Non-Compliant (Due to Non-Configuration)"
